pokemon_id,name,root_id,root_name,family_id,generation,image_url,tradeable,legendary
1,Bulbasaur,1.0,Bulbasaur,1,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,True,False
2,Ivysaur,1.0,Bulbasaur,1,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,True,False
3,Venusaur,1.0,Bulbasaur,1,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,True,False
4,Charmander,4.0,Charmander,2,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,True,False
5,Charmeleon,4.0,Charmander,2,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,True,False
6,Charizard,4.0,Charmander,2,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,True,False
7,Squirtle,7.0,Squirtle,3,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,True,False
8,Wartortle,7.0,Squirtle,3,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,True,False
9,Blastoise,7.0,Squirtle,3,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,True,False
10,Caterpie,10.0,Caterpie,4,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,True,False
11,Metapod,10.0,Caterpie,4,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,True,False
12,Butterfree,10.0,Caterpie,4,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,True,False
13,Weedle,13.0,Weedle,5,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,True,False
14,Kakuna,13.0,Weedle,5,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,True,False
15,Beedrill,13.0,Weedle,5,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,True,False
16,Pidgey,16.0,Pidgey,6,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,True,False
17,Pidgeotto,16.0,Pidgey,6,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,True,False
18,Pidgeot,16.0,Pidgey,6,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,True,False
19,Rattata,19.0,Rattata,7,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,True,False
20,Raticate,19.0,Rattata,7,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,True,False
21,Spearow,21.0,Spearow,8,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,True,False
22,Fearow,21.0,Spearow,8,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,True,False
23,Ekans,23.0,Ekans,9,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,True,False
24,Arbok,23.0,Ekans,9,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,True,False
25,Pikachu,172.0,Pichu,10,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,True,False
