pokemon_id,name,root_id,root_name,family_id,generation,image_url,tradeable
1,Bulbasaur,1.0,Bulbasaur,1,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,True
2,Ivysaur,1.0,Bulbasaur,1,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,True
3,Venusaur,1.0,Bulbasaur,1,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,True
4,Charmander,4.0,Charmander,2,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,True
5,Charmeleon,4.0,Charmander,2,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,True
6,Charizard,4.0,Charmander,2,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,True
7,Squirtle,7.0,Squirtle,3,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,True
8,Wartortle,7.0,Squirtle,3,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,True
9,Blastoise,7.0,Squirtle,3,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,True
10,Caterpie,10.0,Caterpie,4,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,True
11,Metapod,10.0,Caterpie,4,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,True
12,Butterfree,10.0,Caterpie,4,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,True
13,Weedle,13.0,Weedle,5,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,True
14,Kakuna,13.0,Weedle,5,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,True
15,Beedrill,13.0,Weedle,5,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,True
16,Pidgey,16.0,Pidgey,6,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,True
17,Pidgeotto,16.0,Pidgey,6,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,True
18,Pidgeot,16.0,Pidgey,6,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,True
19,Rattata,19.0,Rattata,7,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,True
20,Raticate,19.0,Rattata,7,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,True
21,Spearow,21.0,Spearow,8,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,True
22,Fearow,21.0,Spearow,8,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,True
23,Ekans,23.0,Ekans,9,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,True
24,Arbok,23.0,Ekans,9,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,True
25,Pikachu,172.0,Pichu,10,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,True
26,Raichu,172.0,Pichu,10,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,True
27,Sandshrew,27.0,Sandshrew,11,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,True
28,Sandslash,27.0,Sandshrew,11,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,True
29,Nidoran F,29.0,Nidoran F,12,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,True
30,Nidorina,29.0,Nidoran F,12,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,True
31,Nidoqueen,29.0,Nidoran F,12,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,True
32,Nidoran M,32.0,Nidoran M,13,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,True
33,Nidorino,32.0,Nidoran M,13,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,True
34,Nidoking,32.0,Nidoran M,13,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,True
35,Clefairy,173.0,Cleffa,14,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,True
36,Clefable,173.0,Cleffa,14,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,True
37,Vulpix,37.0,Vulpix,15,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,True
38,Ninetales,37.0,Vulpix,15,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,True
39,Jigglypuff,174.0,Igglybuff,16,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,True
40,Wigglytuff,174.0,Igglybuff,16,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,True
41,Zubat,41.0,Zubat,17,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,True
42,Golbat,41.0,Zubat,17,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,True
